Date,Open,High,Low,Close,Quantity
2001-01-09,20.36,20.78,19.7,19.81,13108200
2001-01-10,19.82,20.0,18.23,18.73,20157210
2001-01-11,18.73,19.02,18.5,18.75,10434475
2001-01-12,18.85,18.99,18.1,18.38,10721455
2001-01-15,18.21,18.21,17.7,17.87,4987940
2001-01-16,17.98,18.44,17.76,18.02,11294255
2001-01-17,18.1,18.27,17.11,17.42,9737415
2001-01-18,17.48,18.24,17.32,18.18,8805830
2001-01-19,18.28,18.58,18.04,18.26,7707920
2001-01-22,18.4,19.3,18.24,19.11,12076285
2001-01-23,19.11,19.4,18.87,18.96,5998905
2001-01-24,19.19,19.33,18.63,19.07,6288970
2001-01-25,19.2,19.2,18.62,18.75,5081315
2001-01-29,18.6,19.15,17.93,19.0,7482615
2001-01-30,19.16,19.6,18.94,19.07,9546945
2001-01-31,19.16,19.5,18.55,18.79,13345405
2001-02-01,18.64,18.64,17.9,18.11,8704890
2001-02-02,18.05,18.34,17.96,18.06,5649835
2001-02-05,18.09,19.51,18.01,19.36,20319355
2001-02-06,19.58,20.9,19.58,20.51,20957870
2001-02-07,21.28,21.78,20.81,20.96,31716500
2001-02-08,20.8,21.49,20.45,21.18,18356400
2001-02-09,21.25,21.58,20.51,21.04,23791120
2001-02-12,21.34,21.34,19.41,19.79,16633175
2001-02-13,19.94,20.18,19.22,19.65,14960690
2001-02-14,19.6,20.36,19.51,20.11,15387425
2001-02-15,20.28,21.14,20.28,20.9,24610830
2001-02-16,20.94,22.45,20.94,21.7,55661360
2001-02-19,21.97,22.74,21.62,22.42,24799480
2001-02-20,22.4,22.73,21.81,21.92,20199640
2001-02-21,22.2,22.2,21.02,21.17,12847425
2001-02-22,21.02,21.55,20.4,20.57,11032380
2001-02-23,20.7,21.28,18.93,19.0,22055030
2001-02-26,19.0,19.88,18.52,19.55,17108185
2001-02-27,19.72,20.35,18.92,19.65,19163420
2001-02-28,19.88,21.23,19.3,20.58,31688015
2001-03-01,21.2,21.96,20.4,21.24,24438045
2001-03-02,21.64,21.8,18.92,19.16,17881345
2001-03-05,19.3,19.59,18.22,18.4,14844800
2001-03-07,18.88,19.2,17.7,18.44,6937060
2001-03-08,18.6,18.9,18.34,18.46,5629350
2001-03-09,18.2,18.2,15.51,15.7,12834975
2001-03-12,15.97,16.1,14.72,14.89,6513280
2001-03-13,14.62,14.85,12.65,13.49,9200030
2001-03-14,13.8,15.3,13.6,14.91,5253775
2001-03-15,14.7,15.4,14.25,15.21,4505905
2001-03-16,15.0,15.92,14.26,14.61,5921275
2001-03-19,14.8,15.09,14.52,14.97,3453265
2001-03-20,15.1,15.2,14.46,14.63,4000775
2001-03-21,14.62,14.85,14.31,14.79,2524400
2001-03-22,14.7,15.0,14.0,14.12,2683365
2001-03-23,14.3,14.4,13.37,13.64,6359375
2001-03-26,13.74,13.94,13.3,13.44,2342195
2001-03-27,13.6,13.9,13.5,13.78,4208930
2001-03-28,14.34,14.38,13.95,13.99,4929875
2001-03-29,14.0,14.28,13.72,13.87,3306750
2001-03-30,13.99,14.04,12.95,13.06,4205200
2001-04-02,12.91,12.91,12.02,12.2,3929120
2001-04-03,12.1,12.38,11.51,11.76,7298825
2001-04-04,11.6,12.45,11.6,12.33,8230100
2001-04-06,12.4,13.0,12.4,12.87,7371540
2001-04-09,12.95,13.36,12.72,13.19,4849370
2001-04-10,13.26,13.5,12.71,12.83,4358370
2001-04-11,13.28,13.4,12.58,12.66,3600315
2001-04-12,12.6,12.89,12.0,12.61,4489175
2001-04-16,12.6,12.98,12.49,12.6,3392150
2001-04-17,12.6,13.6,12.37,13.15,7268615
2001-04-18,13.54,14.21,13.4,13.82,10965160
2001-04-19,14.1,14.59,13.62,13.82,7562885
2001-04-20,13.85,13.9,13.26,13.35,3189485
2001-04-23,13.3,13.9,12.6,13.72,3700875
2001-04-24,13.6,14.58,13.55,14.48,9706220
2001-04-25,14.6,15.04,14.4,14.82,7657800
2001-04-26,14.94,15.58,14.9,15.03,7845315
2001-04-27,14.97,14.97,13.83,14.36,7831570
2001-04-30,14.6,15.4,14.22,15.12,4551315
2001-05-02,15.4,15.56,14.83,14.95,3038935
2001-05-03,14.9,15.03,14.5,14.58,1230835
2001-05-04,14.7,15.1,14.65,14.9,2098900
2001-05-07,15.0,15.18,14.62,14.69,1521160
2001-05-08,14.8,15.1,14.62,14.97,2999165
2001-05-09,15.3,15.58,15.02,15.25,6379005
2001-05-10,15.13,15.74,14.9,15.46,3407990
2001-05-11,15.79,15.98,15.0,15.06,7056490
2001-05-14,15.04,15.19,14.9,15.0,2105830
2001-05-15,14.94,15.1,14.4,14.83,3836180
2001-05-16,15.0,15.96,14.98,15.83,8852690
2001-05-17,15.89,16.8,15.89,16.53,9018025
2001-05-18,16.62,17.02,16.3,16.52,7393515
2001-05-21,16.51,16.9,16.32,16.45,4764940
2001-05-22,16.59,16.6,16.13,16.21,3086440
2001-05-23,16.4,16.4,16.02,16.14,1132840
2001-05-24,16.09,16.49,16.07,16.24,2015395
2001-05-25,16.38,16.38,15.61,15.77,2679705
2001-05-28,15.8,16.24,15.71,16.06,2155750
2001-05-29,16.1,16.86,16.0,16.78,5676590
2001-05-30,17.0,17.38,16.64,16.92,5979675
2001-05-31,16.7,16.8,16.26,16.45,2324445
2001-06-01,16.6,16.7,16.04,16.13,1927450
2001-06-04,16.02,16.2,15.38,15.84,3306520
2001-06-05,16.0,16.3,15.63,15.69,3493185
2001-06-06,15.96,15.96,15.33,15.4,1321630
2001-06-07,15.55,15.55,14.5,14.78,1373900
2001-06-08,14.9,15.42,14.8,15.09,2764195
2001-06-11,15.3,15.34,14.87,14.89,1505360
2001-06-12,14.87,15.04,14.87,14.88,1683630
2001-06-13,15.0,15.0,14.6,14.66,1674320
2001-06-14,14.6,14.6,14.2,14.3,1283465
2001-06-15,14.24,14.24,13.16,13.68,3945925
2001-06-18,13.52,13.7,13.26,13.65,1397660
2001-06-19,13.6,13.78,12.96,13.06,2462730
2001-06-20,13.29,13.3,13.1,13.19,884430
2001-06-21,13.22,13.36,12.8,12.85,834700
2001-06-22,12.95,12.95,12.16,12.23,1174580
2001-06-25,12.14,12.14,11.72,11.77,961135
2001-06-26,11.75,12.2,11.75,12.09,1360150
2001-06-27,12.3,12.75,12.11,12.47,1816055
2001-06-28,12.55,12.61,12.34,12.54,626520
2001-06-29,12.5,12.7,12.41,12.48,1047365
2001-07-02,12.7,12.96,12.6,12.73,383180
2001-07-03,12.75,12.75,11.96,12.1,5167675
2001-07-04,12.22,12.22,12.0,12.06,234460
2001-07-05,12.2,13.0,12.12,12.88,421730
2001-07-06,12.6,13.08,12.6,12.91,783380
2001-07-09,12.8,13.58,12.74,13.47,1213815
2001-07-10,13.62,14.78,13.59,14.42,2640765
2001-07-11,14.58,15.0,14.25,14.97,2730600
2001-07-12,14.4,15.08,14.4,14.84,1932055
2001-07-13,15.0,15.0,13.9,14.01,1489445
2001-07-16,14.0,14.2,13.65,13.77,884485
2001-07-17,13.7,14.29,13.59,14.06,749680
2001-07-18,14.25,14.4,14.15,14.2,637595
2001-07-19,13.8,14.26,13.8,14.14,373995
2001-07-20,14.04,14.66,13.96,14.26,1057215
2001-07-23,14.0,14.18,13.44,13.98,76805
2001-07-24,14.0,15.79,13.82,15.49,5196995
2001-07-25,14.8,15.14,14.41,14.92,4393895
2001-07-26,14.95,15.0,14.56,14.9,987445
2001-07-27,14.65,14.88,13.85,13.93,1138320
2001-07-30,13.98,13.98,13.1,13.19,987430
2001-07-31,13.1,14.28,13.1,14.14,1052165
2001-08-01,14.19,14.2,13.5,13.79,868940
2001-08-02,13.66,14.39,13.66,13.97,1569270
2001-08-03,14.0,14.16,13.82,13.88,401850
2001-08-06,13.99,14.4,13.91,14.32,818435
2001-08-07,14.4,14.9,14.33,14.8,1057690
2001-08-08,14.6,15.14,14.35,14.96,1679020
2001-08-09,14.79,15.16,14.6,15.03,775510
2001-08-10,15.22,15.57,15.08,15.3,3665615
2001-08-13,15.55,15.87,15.24,15.76,3006095
2001-08-14,15.81,16.05,15.2,15.96,2264265
2001-08-16,16.0,16.7,15.72,16.53,3473445
2001-08-17,16.6,16.6,16.01,16.32,2012920
2001-08-20,16.0,16.37,15.41,15.52,983275
2001-08-21,15.33,15.54,14.7,14.77,1586435
2001-08-23,14.99,15.34,14.7,15.03,2680060
2001-08-24,15.18,15.18,14.84,14.96,702820
2001-08-27,15.25,15.6,15.02,15.35,1047445
2001-08-28,15.38,15.38,14.58,14.63,887445
2001-08-29,14.65,15.26,14.65,15.02,2265975
2001-08-30,15.08,15.35,14.83,14.97,1329915
2001-08-31,14.94,15.25,14.72,15.1,933755
2001-09-03,15.18,15.24,14.92,15.17,650880
2001-09-04,15.2,15.75,15.17,15.39,2164980
2001-09-05,15.59,15.7,15.21,15.3,1020780
2001-09-06,14.82,15.56,14.82,15.11,1173955
2001-09-07,15.0,15.1,14.82,14.92,595750
2001-09-10,15.0,15.18,14.91,14.96,469130
2001-09-11,15.14,15.14,14.92,14.97,347040
2001-09-12,13.6,14.7,13.6,13.97,1450700
2001-09-13,14.57,14.6,14.11,14.18,653575
2001-09-14,14.1,14.18,13.18,13.42,1262640
2001-09-17,12.58,13.36,12.58,12.74,1003705
2001-09-18,12.6,13.6,12.6,13.06,1214455
2001-09-19,13.38,14.37,13.16,14.17,1708265
2001-09-20,13.92,14.64,13.8,14.2,1390470
2001-09-21,14.0,14.0,13.62,13.79,470060
2001-09-24,14.0,14.07,13.64,13.74,497760
2001-09-25,13.8,14.27,13.8,14.21,990890
2001-09-26,14.0,14.34,13.73,13.96,610630
2001-09-27,13.89,14.09,13.56,13.64,1034405
2001-09-28,13.82,14.1,13.7,13.81,688515
2001-10-01,14.29,14.45,13.42,13.47,721960
2001-10-03,13.8,14.34,13.64,14.1,4694590
2001-10-04,14.46,14.46,13.6,13.75,1806945
2001-10-05,14.0,14.16,13.92,14.06,730460
2001-10-08,13.9,14.09,13.42,13.96,583715
2001-10-09,13.9,14.13,13.9,13.96,331115
2001-10-10,14.1,14.1,13.62,13.66,707260
2001-10-11,13.96,14.4,13.92,14.0,2731790
2001-10-12,14.3,14.58,14.14,14.23,2346140
2001-10-15,14.3,14.84,14.1,14.74,2334050
2001-10-16,14.85,15.45,14.71,15.29,2101400
2001-10-17,15.38,15.9,15.12,15.23,1990800
2001-10-18,15.18,15.44,15.0,15.14,926100
2001-10-19,15.2,15.7,15.09,15.35,2436270
2001-10-22,15.65,16.89,15.65,16.89,5176495
2001-10-23,17.38,17.6,17.02,17.34,3120295
2001-10-24,17.48,17.51,16.0,16.11,2266250
2001-10-25,16.39,16.64,15.96,16.43,2258040
2001-10-29,16.8,17.32,16.3,16.54,1737205
2001-10-30,16.34,16.4,15.73,16.0,1479435
2001-10-31,16.0,17.2,15.98,16.96,4777730
2001-11-01,17.08,17.68,16.6,16.74,4711270
2001-11-02,17.15,17.16,16.51,16.63,4673725
2001-11-05,16.78,16.88,15.96,16.16,5476305
2001-11-06,16.4,17.14,16.01,16.63,10337220
2001-11-07,16.7,17.35,16.57,16.65,10862500
2001-11-08,16.8,17.56,16.52,17.38,11414750
2001-11-09,17.5,18.45,17.02,18.27,12099050
2001-11-12,18.29,18.34,17.65,17.84,6027130
2001-11-13,17.88,18.1,17.06,17.94,6424060
2001-11-14,18.5,19.3,18.24,18.78,2692955
2001-11-15,18.71,18.99,18.4,18.84,6660540
2001-11-19,19.0,20.6,18.9,20.23,10941850
2001-11-20,20.5,20.7,19.13,19.82,11142040
2001-11-21,19.61,20.51,19.2,20.26,9394745
2001-11-22,20.39,21.2,20.3,20.74,6571340
2001-11-23,20.82,21.0,20.43,20.64,2916165
2001-11-26,20.62,21.18,20.11,20.34,5244105
2001-11-27,20.4,20.6,19.8,19.99,5480140
2001-11-28,19.83,20.68,19.73,20.48,4498865
2001-11-29,20.86,21.16,20.44,20.88,5813245
2001-12-03,20.89,21.54,20.63,21.33,2771895
2001-12-04,21.4,22.33,21.4,22.11,4343785
2001-12-05,22.87,22.87,21.32,21.56,4063685
2001-12-06,22.0,22.2,21.22,21.57,4013665
2001-12-07,21.5,21.85,20.26,20.43,3285425
2001-12-10,20.2,20.9,20.2,20.5,2982025
2001-12-11,20.72,21.68,20.45,21.08,3496530
2001-12-12,21.19,21.8,21.02,21.23,2470370
2001-12-13,21.58,21.58,19.2,20.3,2595800
2001-12-14,19.72,21.1,19.6,20.78,2849305
2001-12-18,21.05,21.47,20.22,21.31,3856570
2001-12-19,21.6,21.6,20.2,20.3,1503850
2001-12-20,20.3,20.31,19.52,19.68,2819175
2001-12-21,19.22,19.6,19.22,19.5,1036290
2001-12-24,19.28,19.6,18.8,19.17,773490
2001-12-26,19.4,19.89,19.0,19.28,1277055
2001-12-27,19.5,19.5,18.63,18.91,1138480
2001-12-28,18.7,19.42,18.6,19.3,1198910
2001-12-31,19.77,20.07,19.3,19.97,1646595
2002-01-01,20.6,20.6,19.92,20.15,1269860
2002-01-02,20.0,20.08,19.65,19.84,1782980
2002-01-03,20.2,20.46,20.0,20.11,2028620
2002-01-04,20.2,20.64,20.06,20.25,1375925
2002-01-07,20.56,20.9,19.72,19.93,3069055
2002-01-08,20.2,20.2,19.61,19.91,2253995
2002-01-09,20.12,20.6,19.91,20.3,2792550
2002-01-10,20.39,21.57,20.39,21.33,4988315
2002-01-11,21.74,22.84,21.41,22.3,11847690
2002-01-14,22.8,23.74,22.76,23.45,8459795
2002-01-15,23.5,23.65,22.5,23.19,7388925
2002-01-16,23.55,25.51,22.73,24.88,14995215
2002-01-17,25.2,26.93,24.32,26.14,20874120
2002-01-18,26.98,26.98,24.61,25.44,8601910
2002-01-21,24.91,25.06,23.12,23.32,10511085
2002-01-22,23.27,24.84,23.27,24.14,11693910
2002-01-23,24.4,25.33,24.23,24.82,13235890
2002-01-24,24.6,24.8,23.65,24.28,7688585
2002-01-25,24.58,24.58,23.81,24.34,3054035
2002-01-28,24.0,24.0,23.1,23.37,4104760
